,ETFPrice,CallPrice,PutPrice,StrikePrice,LocalTime,Type,TransactionArbitrage,Profit
97,1.957,0.0411,0.0397,1.95,2016-Feb-16 09:31:07.268706,"Put Call Parity, Sell Call Buy Put",Without Transaction Fee,12.51015252672058
98,1.957,0.1547,0.0035,1.8,2016-Feb-16 09:31:07.268892,"Put Call Parity, Sell Call Buy Put",With Transaction Fee,8.524644719919952
99,1.957,0.1547,0.0035,1.8,2016-Feb-16 09:31:07.268892,"Put Call Parity, Sell Call Buy Put",Without Transaction Fee,11.824644719919952
100,1.957,0.1547,0.0036,1.8,2016-Feb-16 09:31:07.268914,"Put Call Parity, Sell Call Buy Put",With Transaction Fee,7.524644719920063
101,1.957,0.1547,0.0036,1.8,2016-Feb-16 09:31:07.268914,"Put Call Parity, Sell Call Buy Put",Without Transaction Fee,10.824644719920062
102,1.957,0.0227,0.072,2.0,2016-Feb-16 09:31:07.806206,"Put Call Parity, Sell Call Buy Put",With Transaction Fee,1.7719884623208477
103,1.957,0.0227,0.072,2.0,2016-Feb-16 09:31:07.806206,"Put Call Parity, Sell Call Buy Put",Without Transaction Fee,5.0719884623208475
104,1.957,0.0411,0.0397,1.95,2016-Feb-16 09:31:07.806229,"Put Call Parity, Sell Call Buy Put",With Transaction Fee,9.21015252672058
105,1.957,0.0411,0.0397,1.95,2016-Feb-16 09:31:07.806229,"Put Call Parity, Sell Call Buy Put",Without Transaction Fee,12.51015252672058
106,1.957,0.1547,0.0036,1.8,2016-Feb-16 09:31:07.806282,"Put Call Parity, Sell Call Buy Put",With Transaction Fee,7.524644719920063
107,1.957,0.1547,0.0036,1.8,2016-Feb-16 09:31:07.806282,"Put Call Parity, Sell Call Buy Put",Without Transaction Fee,10.824644719920062
108,1.957,0.0227,0.072,2.0,2016-Feb-16 09:31:08.210341,"Put Call Parity, Sell Call Buy Put",With Transaction Fee,1.7719884623208477
109,1.957,0.0227,0.072,2.0,2016-Feb-16 09:31:08.210341,"Put Call Parity, Sell Call Buy Put",Without Transaction Fee,5.0719884623208475
110,1.957,0.0411,0.0397,1.95,2016-Feb-16 09:31:08.210363,"Put Call Parity, Sell Call Buy Put",With Transaction Fee,9.21015252672058
111,1.957,0.0411,0.0397,1.95,2016-Feb-16 09:31:08.210363,"Put Call Parity, Sell Call Buy Put",Without Transaction Fee,12.51015252672058
112,1.957,0.0411,0.0406,1.95,2016-Feb-16 09:31:08.210460,"Put Call Parity, Sell Call Buy Put",With Transaction Fee,0.21015252672060036
113,1.957,0.0411,0.0406,1.95,2016-Feb-16 09:31:08.210460,"Put Call Parity, Sell Call Buy Put",Without Transaction Fee,3.5101525267206
114,1.957,0.1547,0.0036,1.8,2016-Feb-16 09:31:08.210967,"Put Call Parity, Sell Call Buy Put",With Transaction Fee,7.524644719920063
115,1.957,0.1547,0.0036,1.8,2016-Feb-16 09:31:08.210967,"Put Call Parity, Sell Call Buy Put",Without Transaction Fee,10.824644719920062
116,1.957,0.0411,0.0406,1.95,2016-Feb-16 09:31:08.709271,"Put Call Parity, Sell Call Buy Put",With Transaction Fee,0.21015252672060036
117,1.957,0.0411,0.0406,1.95,2016-Feb-16 09:31:08.709271,"Put Call Parity, Sell Call Buy Put",Without Transaction Fee,3.5101525267206
118,1.957,0.0411,0.0387,1.95,2016-Feb-16 09:31:08.709318,"Put Call Parity, Sell Call Buy Put",With Transaction Fee,19.210152526720588
119,1.957,0.0411,0.0387,1.95,2016-Feb-16 09:31:08.709318,"Put Call Parity, Sell Call Buy Put",Without Transaction Fee,22.51015252672059
120,1.957,0.1547,0.0036,1.8,2016-Feb-16 09:31:08.709488,"Put Call Parity, Sell Call Buy Put",With Transaction Fee,7.524644719920063
121,1.957,0.1547,0.0036,1.8,2016-Feb-16 09:31:08.709488,"Put Call Parity, Sell Call Buy Put",Without Transaction Fee,10.824644719920062
122,1.958,0.0227,0.071,2.0,2016-Feb-16 09:31:14.823293,"Put Call Parity, Sell Call Buy Put",With Transaction Fee,1.815728140932113
123,1.958,0.0227,0.071,2.0,2016-Feb-16 09:31:14.823293,"Put Call Parity, Sell Call Buy Put",Without Transaction Fee,5.115728140932113
124,1.958,0.1547,0.0035,1.8,2016-Feb-16 09:31:14.823470,"Put Call Parity, Sell Call Buy Put",Without Transaction Fee,1.8683843985312087
125,1.958,0.1547,0.0035,1.8,2016-Feb-16 09:31:15.322608,"Put Call Parity, Sell Call Buy Put",Without Transaction Fee,1.8683843985312087
126,1.958,0.0227,0.071,2.0,2016-Feb-16 09:31:15.936352,"Put Call Parity, Sell Call Buy Put",With Transaction Fee,1.815728140932113
127,1.958,0.0227,0.071,2.0,2016-Feb-16 09:31:15.936352,"Put Call Parity, Sell Call Buy Put",Without Transaction Fee,5.115728140932113
128,1.958,0.0227,0.071,2.0,2016-Feb-16 09:31:15.936376,"Put Call Parity, Sell Call Buy Put",With Transaction Fee,1.815728140932113
129,1.958,0.0227,0.071,2.0,2016-Feb-16 09:31:15.936376,"Put Call Parity, Sell Call Buy Put",Without Transaction Fee,5.115728140932113
130,1.958,0.1547,0.0035,1.8,2016-Feb-16 09:31:15.936534,"Put Call Parity, Sell Call Buy Put",Without Transaction Fee,1.8683843985312087
131,1.958,0.0227,0.071,2.0,2016-Feb-16 09:31:16.420779,"Put Call Parity, Sell Call Buy Put",With Transaction Fee,1.815728140932113
132,1.958,0.0227,0.071,2.0,2016-Feb-16 09:31:16.420779,"Put Call Parity, Sell Call Buy Put",Without Transaction Fee,5.115728140932113
133,1.958,0.0227,0.071,2.0,2016-Feb-16 09:31:16.420839,"Put Call Parity, Sell Call Buy Put",With Transaction Fee,1.815728140932113
134,1.958,0.0227,0.071,2.0,2016-Feb-16 09:31:16.420839,"Put Call Parity, Sell Call Buy Put",Without Transaction Fee,5.115728140932113
135,1.958,0.1547,0.0035,1.8,2016-Feb-16 09:31:16.421110,"Put Call Parity, Sell Call Buy Put",Without Transaction Fee,1.8683843985312087
136,1.958,0.0227,0.071,2.0,2016-Feb-16 09:31:17.435308,"Put Call Parity, Sell Call Buy Put",With Transaction Fee,1.815728140932113
137,1.958,0.0227,0.071,2.0,2016-Feb-16 09:31:17.435308,"Put Call Parity, Sell Call Buy Put",Without Transaction Fee,5.115728140932113
138,1.958,0.1547,0.0035,1.8,2016-Feb-16 09:31:17.435410,"Put Call Parity, Sell Call Buy Put",Without Transaction Fee,1.8683843985312087
139,1.958,0.0227,0.071,2.0,2016-Feb-16 09:31:17.879939,"Put Call Parity, Sell Call Buy Put",With Transaction Fee,1.815728140932113
140,1.958,0.0227,0.071,2.0,2016-Feb-16 09:31:17.879939,"Put Call Parity, Sell Call Buy Put",Without Transaction Fee,5.115728140932113
141,1.958,0.0227,0.071,2.0,2016-Feb-16 09:31:17.879972,"Put Call Parity, Sell Call Buy Put",With Transaction Fee,1.815728140932113
142,1.958,0.0227,0.071,2.0,2016-Feb-16 09:31:17.879972,"Put Call Parity, Sell Call Buy Put",Without Transaction Fee,5.115728140932113
143,1.958,0.1555,0.0035,1.8,2016-Feb-16 09:31:17.880512,"Put Call Parity, Sell Call Buy Put",With Transaction Fee,6.568384398531161
144,1.958,0.1555,0.0035,1.8,2016-Feb-16 09:31:17.880512,"Put Call Parity, Sell Call Buy Put",Without Transaction Fee,9.86838439853116
145,1.958,0.0227,0.071,2.0,2016-Feb-16 09:31:19.803121,"Put Call Parity, Sell Call Buy Put",With Transaction Fee,1.815728140932113
146,1.958,0.0227,0.071,2.0,2016-Feb-16 09:31:19.803121,"Put Call Parity, Sell Call Buy Put",Without Transaction Fee,5.115728140932113
147,1.958,0.0227,0.071,2.0,2016-Feb-16 09:31:21.792518,"Put Call Parity, Sell Call Buy Put",With Transaction Fee,1.815728140932113
148,1.958,0.0227,0.071,2.0,2016-Feb-16 09:31:21.792518,"Put Call Parity, Sell Call Buy Put",Without Transaction Fee,5.115728140932113
149,1.958,0.0227,0.071,2.0,2016-Feb-16 09:31:22.299188,"Put Call Parity, Sell Call Buy Put",With Transaction Fee,1.815728140932113
150,1.958,0.0227,0.071,2.0,2016-Feb-16 09:31:22.299188,"Put Call Parity, Sell Call Buy Put",Without Transaction Fee,5.115728140932113
151,1.958,0.1555,0.0035,1.8,2016-Feb-16 09:31:22.299702,"Put Call Parity, Sell Call Buy Put",With Transaction Fee,6.568384398531161
152,1.958,0.1555,0.0035,1.8,2016-Feb-16 09:31:22.299702,"Put Call Parity, Sell Call Buy Put",Without Transaction Fee,9.86838439853116
153,1.958,0.0227,0.071,2.0,2016-Feb-16 09:31:22.846479,"Put Call Parity, Sell Call Buy Put",With Transaction Fee,1.815728140932113
154,1.958,0.0227,0.071,2.0,2016-Feb-16 09:31:22.846479,"Put Call Parity, Sell Call Buy Put",Without Transaction Fee,5.115728140932113
155,1.958,0.1555,0.0035,1.8,2016-Feb-16 09:31:22.846662,"Put Call Parity, Sell Call Buy Put",With Transaction Fee,6.568384398531161
156,1.958,0.1555,0.0035,1.8,2016-Feb-16 09:31:22.846662,"Put Call Parity, Sell Call Buy Put",Without Transaction Fee,9.86838439853116
157,1.958,0.0227,0.071,2.0,2016-Feb-16 09:31:23.326774,"Put Call Parity, Sell Call Buy Put",With Transaction Fee,1.815728140932113
158,1.958,0.0227,0.071,2.0,2016-Feb-16 09:31:23.326774,"Put Call Parity, Sell Call Buy Put",Without Transaction Fee,5.115728140932113
159,1.958,0.0227,0.071,2.0,2016-Feb-16 09:31:23.326824,"Put Call Parity, Sell Call Buy Put",With Transaction Fee,1.815728140932113
160,1.958,0.0227,0.071,2.0,2016-Feb-16 09:31:23.326824,"Put Call Parity, Sell Call Buy Put",Without Transaction Fee,5.115728140932113
161,1.958,0.1555,0.0035,1.8,2016-Feb-16 09:31:27.280431,"Put Call Parity, Sell Call Buy Put",With Transaction Fee,6.568384398531161
162,1.958,0.1555,0.0035,1.8,2016-Feb-16 09:31:27.280431,"Put Call Parity, Sell Call Buy Put",Without Transaction Fee,9.86838439853116
163,1.958,0.0227,0.071,2.0,2016-Feb-16 09:31:29.854829,"Put Call Parity, Sell Call Buy Put",With Transaction Fee,1.815728140932113
164,1.958,0.0227,0.071,2.0,2016-Feb-16 09:31:29.854829,"Put Call Parity, Sell Call Buy Put",Without Transaction Fee,5.115728140932113
165,1.958,0.0227,0.071,2.0,2016-Feb-16 09:31:29.854877,"Put Call Parity, Sell Call Buy Put",With Transaction Fee,1.815728140932113
166,1.958,0.0227,0.071,2.0,2016-Feb-16 09:31:29.854877,"Put Call Parity, Sell Call Buy Put",Without Transaction Fee,5.115728140932113
167,1.958,0.1555,0.0035,1.8,2016-Feb-16 09:31:29.855136,"Put Call Parity, Sell Call Buy Put",With Transaction Fee,6.568384398531161
168,1.958,0.1555,0.0035,1.8,2016-Feb-16 09:31:29.855136,"Put Call Parity, Sell Call Buy Put",Without Transaction Fee,9.86838439853116
169,1.958,0.0227,0.071,2.0,2016-Feb-16 09:31:30.348002,"Put Call Parity, Sell Call Buy Put",With Transaction Fee,1.815728140932113
170,1.958,0.0227,0.071,2.0,2016-Feb-16 09:31:30.348002,"Put Call Parity, Sell Call Buy Put",Without Transaction Fee,5.115728140932113
171,1.958,0.1555,0.0035,1.8,2016-Feb-16 09:31:30.348371,"Put Call Parity, Sell Call Buy Put",With Transaction Fee,6.568384398531161
172,1.958,0.1555,0.0035,1.8,2016-Feb-16 09:31:30.348371,"Put Call Parity, Sell Call Buy Put",Without Transaction Fee,9.86838439853116
173,1.958,0.1555,0.0035,1.8,2016-Feb-16 09:31:30.847318,"Put Call Parity, Sell Call Buy Put",With Transaction Fee,6.568384398531161
174,1.958,0.1555,0.0035,1.8,2016-Feb-16 09:31:30.847318,"Put Call Parity, Sell Call Buy Put",Without Transaction Fee,9.86838439853116
175,1.958,0.1555,0.0035,1.8,2016-Feb-16 09:31:30.847359,"Put Call Parity, Sell Call Buy Put",With Transaction Fee,6.568384398531161
176,1.958,0.1555,0.0035,1.8,2016-Feb-16 09:31:30.847359,"Put Call Parity, Sell Call Buy Put",Without Transaction Fee,9.86838439853116
