,ETFPrice,CallPrice,PutPrice,StrikePrice,LocalTime,Type and Action,Profit
95,1.958,0.0227,0.071,2.0,2016-Feb-16 09:31:22.846479,"Put Call Parity, Sell Call and Buy Put and Buy the Stock and Sell Risk Free Bond",5.115728140932113
96,1.958,0.1555,0.0035,1.8,2016-Feb-16 09:31:22.846662,"Put Call Parity, Sell Call and Buy Put and Buy the Stock and Sell Risk Free Bond",9.86838439853116
97,1.958,0.0227,0.071,2.0,2016-Feb-16 09:31:23.326774,"Put Call Parity, Sell Call and Buy Put and Buy the Stock and Sell Risk Free Bond",5.115728140932113
98,1.958,0.0227,0.071,2.0,2016-Feb-16 09:31:23.326824,"Put Call Parity, Sell Call and Buy Put and Buy the Stock and Sell Risk Free Bond",5.115728140932113
99,1.958,0.1555,0.0035,1.8,2016-Feb-16 09:31:27.280431,"Put Call Parity, Sell Call and Buy Put and Buy the Stock and Sell Risk Free Bond",9.86838439853116
100,1.958,0.0227,0.071,2.0,2016-Feb-16 09:31:29.854829,"Put Call Parity, Sell Call and Buy Put and Buy the Stock and Sell Risk Free Bond",5.115728140932113
101,1.958,0.0227,0.071,2.0,2016-Feb-16 09:31:29.854877,"Put Call Parity, Sell Call and Buy Put and Buy the Stock and Sell Risk Free Bond",5.115728140932113
102,1.958,0.1555,0.0035,1.8,2016-Feb-16 09:31:29.855136,"Put Call Parity, Sell Call and Buy Put and Buy the Stock and Sell Risk Free Bond",9.86838439853116
103,1.958,0.0227,0.071,2.0,2016-Feb-16 09:31:30.348002,"Put Call Parity, Sell Call and Buy Put and Buy the Stock and Sell Risk Free Bond",5.115728140932113
104,1.958,0.1555,0.0035,1.8,2016-Feb-16 09:31:30.348371,"Put Call Parity, Sell Call and Buy Put and Buy the Stock and Sell Risk Free Bond",9.86838439853116
105,1.958,0.1555,0.0035,1.8,2016-Feb-16 09:31:30.847318,"Put Call Parity, Sell Call and Buy Put and Buy the Stock and Sell Risk Free Bond",9.86838439853116
106,1.958,0.1555,0.0035,1.8,2016-Feb-16 09:31:30.847359,"Put Call Parity, Sell Call and Buy Put and Buy the Stock and Sell Risk Free Bond",9.86838439853116
107,1.958,0.0239,0.071,2.0,2016-Feb-16 09:31:31.359553,"Put Call Parity, Sell Call and Buy Put and Buy the Stock and Sell Risk Free Bond",17.11572814093218
